"Test Number"|"CAS Number"|"Chemical Name"|"Chemical Grade"|"Chemical Analysis"|"Test Method"|"Chemical Purity Mean Op"|"Chemical Purity Mean(%)"|"Chemical Purity Min Op"|"Chemical Purity Min(%)"|"Chemical Purity Max Op"|"Chemical Purity Max(%)"|"Species Scientific Name"|"Species Group"|"Organism Lifestage"|"Organism Age Mean Op"|"Organism Age Mean"|"Organism Age Min Op"|"Organism Age Min"|"Organism Age Max Op"|"Organism Age Max"|"Age Units"|"Exposure Type"|"Media Type"|"Test Location"|"Number of Doses"|"Conc 1 Type (Standardized)"|"Conc 1 Mean Op (Standardized)"|"Conc 1 Mean (Standardized)"|"Conc 1 Min Op (Standardized)"|"Conc 1 Min (Standardized)"|"Conc 1 Max Op (Standardized)"|"Conc 1 Max (Standardized)"|"Conc 1 Units (Standardized)"|"Conc 2 Type (Standardized)"|"Conc 2 Mean Op (Standardized)"|"Conc 2 Mean (Standardized)"|"Conc 2 Min Op (Standardized)"|"Conc Min 2 (Standardized)"|"Conc 2 Max Op (Standardized)"|"Conc 2 Max (Standardized)"|"Conc 2 Units (Standardized)"|"Conc 3 Type (Standardized)"|"Conc 3 Mean Op (Standardized)"|"Conc 3 Mean (Standardized)"|"Conc 3 Min Op (Standardized)"|"Conc Min 3 (Standardized)"|"Conc 3 Max Op (Standardized)"|"Conc 3 Max (Standardized)"|"Conc 3 Units (Standardized)"|Effect|"Effect Measurement"|Endpoint|"Response Site"|"Observed Duration Mean Op (Days)"|"Observed Duration Mean (Days)"|"Observed Duration Min Op (Days)"|"Observed Duration Min (Days)"|"Observed Duration Max Op (Days)"|"Observed Duration Max (Days)"|"Observed Duration Units (Days)"|"Test Type"|"Temperature Mean Op"|"Temperature Mean"|"Temperature Min Op"|"Temperature Min"|"Temperature Max Op"|"Temperature Max"|"Temperature Units"|"Hardness Mean Op"|"Hardness Mean"|"Hardness Min Op"|"Hardness Min"|"Hardness Max Op"|"Hardness Max"|"Hardness Units"|"Alkalinity Mean Op"|"Alkalinity Mean"|"Alkalinity Min Op"|"Alkalinity Min"|"Alkalinity Max Op"|"Alkalinity Max"|"Alkalinity Units"|"pH Mean Op"|"pH Mean"|"pH Min Op"|"pH Min"|"pH Max Op"|"pH Max"|"Author"|"Reference Number"|"Title"|"Source"|"Publication Year"|
1069656|50293|1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]|Standard|Unmeasured|Not coded|>|99||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported||12||NR||NR|Hour(s)|Renewal|Fresh water|Lab|NR|Active ingredient||0.00061||0.00058||0.00064|AI mg/L|||||||||||||||||Reproduction|Reproduction, general|EC50|Not reported||14||NR||NR|Day(s)|Not coded|||||||NR||||320*||340*|mg/L CaCO3|||||||NR||7.6*|||||Maki,A.W., and H.E. Johnson|5525|Effects of PCB (Aroclor 1254) and p,p'-DDT on Production and Survival of Daphnia magna Strauss|Bull. Environ. Contam. Toxicol.13(4): 412-416|1975|
2196915|7439921|Lead|Not reported|Measured|Organization for Economic Cooperation and Development||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported||NR||6||24|Hour(s)|Static|Fresh water|Lab|8|Total||0.594||0.408||0.885|AI mg/L|||||||||||||||||Mortality|Mortality|LC50/|Not reported||2||NR||NR|Day(s)|Not reported|||||||NR|||||||NR|||||||NR||7.0|||||Chen,F., Q. Yao, and X. Zhou|174970|The Influence of Suspended Solids on the Combined Toxicity of Galaxolide and Lead to Daphnia magna|Bull. Environ. Contam. Toxicol.95(1): 73-79|2015|
2196915|7439921|Lead|Not reported|Measured|Organization for Economic Cooperation and Development||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported||NR||6||24|Hour(s)|Static|Fresh water|Lab|8|Total||0.724||0.547||0.987|AI mg/L|||||||||||||||||Mortality|Mortality|LC50/|Not reported||1||NR||NR|Day(s)|Not reported|||||||NR|||||||NR|||||||NR||7.0|||||Chen,F., Q. Yao, and X. Zhou|174970|The Influence of Suspended Solids on the Combined Toxicity of Galaxolide and Lead to Daphnia magna|Bull. Environ. Contam. Toxicol.95(1): 73-79|2015|
1101223|7439965|Manganese|Not reported|Unmeasured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported||NR||NR||NR|Not reported|Static|Fresh water|Lab|NR|Total||40||NR||NR|AI mg/L|||||||||||||||||Intoxication|Mobility|EC50|Not reported||2||NR||NR|Day(s)|Not coded|||||||NR|||||||NR|||||||NR|||||||Bowmer,C.T., R.N. Hooftman, A.O. Hanstveit, P.W.M. Venderbosch, and N. Van der Hoeven|7324|The Ecotoxicity and the Biodegradability of Lactic Acid, Alkyl Lactate Esters and Lactate Salts|Chemosphere37(7): 1317-1333|1998|
2034296|7439965|Manganese|Not reported|Measured|Not reported||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported||NR||NR||NR|Not reported|Static|Fresh water|Lab|NR|Total||29||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||2||NR||NR|Day(s)|Not reported||20|||||C|||||||NR|||||||NR|||||||Stephan,C.E.|120960|Chronic Screening Toxicity Test with Daphnia magna|Sept.29th Memo to D.Friedman, U.S.EPA, Washington, DC:3 p.|1978|
1061486|7440020|Nickel|Not reported|Unmeasured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported|<|24||NR||NR|Hour(s)|Static|Salt water|Lab|NR|Dissolved||1||NR||NR|AI mg/L|||||||||||||||||Intoxication|Immobile|EC50|Not reported||2||NR||NR|Day(s)|Not coded||22|||||C|||||||NR|||||||NR|||||||Haley,M.V., and C.W. Kurnas|4939|Aquatic Toxicity and Fate of Nickel Coated Graphite Fibers, with Comparisons to Iron and Aluminum Coated Glass Fibers|Rep.No.ERDEC-TR-090, Edgewood Res.Dev.Eng.Center, Aberdeen Proving Ground, MD:19 p.|1993|
2065917|7440224|Silver|Not coded|Not coded|United States Environmental Protection Agency||NC||NC||NC|Daphnia magna|Crustaceans; Standard Test Species|Not coded|<|24||NR||NR|Hour(s)|Static|Fresh water|Lab|NC|Not coded||0.00921||NR||NR|AI mg/L|||||||||||||||||Intoxication|Immobile|EC50|Not coded||2||NR||NR|Day(s)|Acute|||||||--|||||||--|||||||--|||||||U.S. Environmental Protection Agency|344|Pesticide Ecotoxicity Database (Formerly:  Environmental Effects Database (EEDB))|Environmental Fate and Effects Division, U.S.EPA, Washington, D.C.:|1992|
1242729|7440224|Silver|Not reported|Measured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported||NR||NR||NR|Not reported|Static|Fresh water|Lab|5|Total||0.00024||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|EC50|Not reported||2||NR||NR|Day(s)|Not coded|||||||NR||47|||||mg/L CaCO3|||||||NR|||||||Chapman,G.A.|77567|Metal Toxicity Tests|July 14, 1980 Memo to Quentin Pickering, Newtown Fish Toxicology Station:2 p.|1980|
1051848|7440224|Silver|Not reported|Measured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported|<|1||NR||NR|Day(s)|Static|Fresh water|Lab|NR|Total||0.0095||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|EC50/|Not reported||2||NR||NR|Day(s)|Not coded|||||||NR||47|||||mg/L CaCO3|||||||NR|||||||Chapman,G.A., S. Ota, and F. Recht|3621|Effects of Water Hardness on the Toxicity of Metals to Daphnia magna|U.S.EPA, Corvallis, OR:17 p.|1980|
2235561|7440224|Silver|Not reported|Unmeasured|Not reported||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Neonate||48||NR||NR|Hour(s)|Static|Fresh water|Lab|4|Total||0.51776736||NR||NR|AI mg/L|||||||||||||||||Biochemistry|Calcein|EC50|Whole organism||.0868||NR||NR|Day(s)|Not reported||20*|||||C|||||||NR|||||||NR|||||||Georgantzopoulou,A., S. Cambier, T. Serchi, M. Kruszewski, Y.L. Balachandran, P. Grysan, J.N. Audinot, J. Ziebel, C. Gu|180582|Inhibition of Multixenobiotic Resistance Transporters (MXR) by Silver Nanoparticles and Ions In Vitro and in Daphnia magna|Sci. Total Environ.569-570:681-689|2016|
2094182|7440224|Silver|Not reported|Measured|Organization for Economic Cooperation and Development||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported|<|24||NR||NR|Hour(s)|Static|Fresh water|Lab|NR|Dissolved||0.001||0.0001||0.0013|AI mg/L|||||||||||||||||Intoxication|Immobile|EC50|Not reported||2||NR||NR|Day(s)|Acute||||18*||20*|C|||||||NR|||||||NR|||||||Kim,J., S. Kim, and S. Lee|160065|Differentiation of the Toxicities of Silver Nanoparticles and Silver Ions to the Japanese Medaka (Oryzias latipes) and the Cladoceran Daphnia magna|Nanotoxicology5(2): 208-214|2011|
1242732|7440224|Silver|Not reported|Measured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported||NR||NR||NR|Not reported|Static|Fresh water|Lab|7|Total||0.0095||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|EC50|Not reported||2||NR||NR|Day(s)|Not coded|||||||NR||47|||||mg/L CaCO3|||||||NR|||||||Chapman,G.A.|77567|Metal Toxicity Tests|July 14, 1980 Memo to Quentin Pickering, Newtown Fish Toxicology Station:2 p.|1980|
2235559|7440224|Silver|Not reported|Unmeasured|Not reported||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Neonate||48||NR||NR|Hour(s)|Static|Fresh water|Lab|4|Total||0.019416276||NR||NR|AI mg/L|||||||||||||||||Biochemistry|Calcein|EC50|Whole organism||.0868||NR||NR|Day(s)|Not reported||20*|||||C|||||||NR|||||||NR|||||||Georgantzopoulou,A., S. Cambier, T. Serchi, M. Kruszewski, Y.L. Balachandran, P. Grysan, J.N. Audinot, J. Ziebel, C. Gu|180582|Inhibition of Multixenobiotic Resistance Transporters (MXR) by Silver Nanoparticles and Ions In Vitro and in Daphnia magna|Sci. Total Environ.569-570:681-689|2016|
2094183|7440224|Silver|Not reported|Measured|Organization for Economic Cooperation and Development||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported|<|24||NR||NR|Hour(s)|Static|Fresh water|Lab|NR|Dissolved||0.0014||0.0003||0.0021|AI mg/L|||||||||||||||||Intoxication|Immobile|EC50|Not reported||2||NR||NR|Day(s)|Acute||||23*||25*|C|||||||NR|||||||NR|||||||Kim,J., S. Kim, and S. Lee|160065|Differentiation of the Toxicities of Silver Nanoparticles and Silver Ions to the Japanese Medaka (Oryzias latipes) and the Cladoceran Daphnia magna|Nanotoxicology5(2): 208-214|2011|
1051847|7440224|Silver|Not reported|Measured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported|<|1||NR||NR|Day(s)|Static|Fresh water|Lab|NR|Total||0.00024||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|EC50/|Not reported||2||NR||NR|Day(s)|Not coded|||||||NR||47|||||mg/L CaCO3|||||||NR|||||||Chapman,G.A., S. Ota, and F. Recht|3621|Effects of Water Hardness on the Toxicity of Metals to Daphnia magna|U.S.EPA, Corvallis, OR:17 p.|1980|
2094059|7440224|Silver|Not reported|Unmeasured|United States Environmental Protection Agency||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Adult||10||NR||NR|Day(s)|Aquatic - not reported|Fresh water|Lab|6|Total||0.00814||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|LC25|Not reported||1||NR||NR|Day(s)|Acute|||||||NR|||||||NR|||||||NR|||||||Poynton,H.C., J.M. Lazorchak, C.A. Impellitteri, B.J. Blalock, K. Rogers, H.J. Allen, A. Loguinov, J.L. Heckman, and S.|160190|Toxicogenomic Responses of Nanotoxicity in Daphnia magna Exposed to Silver Nitrate and Coated Silver Nanoparticles|Environ. Sci. Technol.46(11): 6288-6296|2012|
2094054|7440224|Silver|Not reported|Unmeasured|United States Environmental Protection Agency||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Adult||10||NR||NR|Day(s)|Aquatic - not reported|Fresh water|Lab|5|Total||0.0035||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|LC25|Not reported||1||NR||NR|Day(s)|Acute|||||||NR|||||||NR|||||||NR|||||||Poynton,H.C., J.M. Lazorchak, C.A. Impellitteri, B.J. Blalock, K. Rogers, H.J. Allen, A. Loguinov, J.L. Heckman, and S.|160190|Toxicogenomic Responses of Nanotoxicity in Daphnia magna Exposed to Silver Nitrate and Coated Silver Nanoparticles|Environ. Sci. Technol.46(11): 6288-6296|2012|
1064427|7440224|Silver|Not reported|Unmeasured|Not coded|>=|80||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported|<=|24||NR||NR|Hour(s)|Static|Fresh water|Lab|NR|Total||0.0015||0.0014||0.0017|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||1||NR||NR|Day(s)|Not coded||22|||||C||72*|||||mg/L CaCO3|||||||NR||||6.7||8.1|LeBlanc,G.A.|5184|Acute Toxicity of Priority Pollutants to Water Flea (Daphnia magna)|Bull. Environ. Contam. Toxicol.24(5): 684-691|1980|
2094063|7440224|Silver|Not reported|Unmeasured|United States Environmental Protection Agency||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Adult||10||NR||NR|Day(s)|Aquatic - not reported|Fresh water|Lab|NR|Total||0.0061||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||1||NR||NR|Day(s)|Acute|||||||NR|||||||NR|||||||NR|||||||Poynton,H.C., J.M. Lazorchak, C.A. Impellitteri, B.J. Blalock, K. Rogers, H.J. Allen, A. Loguinov, J.L. Heckman, and S.|160190|Toxicogenomic Responses of Nanotoxicity in Daphnia magna Exposed to Silver Nitrate and Coated Silver Nanoparticles|Environ. Sci. Technol.46(11): 6288-6296|2012|
2094059|7440224|Silver|Not reported|Measured|United States Environmental Protection Agency||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Adult||10||NR||NR|Day(s)|Aquatic - not reported|Fresh water|Lab|6|Total||0.0106||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||1||NR||NR|Day(s)|Acute|||||||NR|||||||NR|||||||NR|||||||Poynton,H.C., J.M. Lazorchak, C.A. Impellitteri, B.J. Blalock, K. Rogers, H.J. Allen, A. Loguinov, J.L. Heckman, and S.|160190|Toxicogenomic Responses of Nanotoxicity in Daphnia magna Exposed to Silver Nitrate and Coated Silver Nanoparticles|Environ. Sci. Technol.46(11): 6288-6296|2012|
2094054|7440224|Silver|Not reported|Measured|United States Environmental Protection Agency||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Adult||10||NR||NR|Day(s)|Aquatic - not reported|Fresh water|Lab|5|Total||0.0018||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||1||NR||NR|Day(s)|Acute|||||||NR|||||||NR|||||||NR|||||||Poynton,H.C., J.M. Lazorchak, C.A. Impellitteri, B.J. Blalock, K. Rogers, H.J. Allen, A. Loguinov, J.L. Heckman, and S.|160190|Toxicogenomic Responses of Nanotoxicity in Daphnia magna Exposed to Silver Nitrate and Coated Silver Nanoparticles|Environ. Sci. Technol.46(11): 6288-6296|2012|
1064428|7440224|Silver|Not reported|Unmeasured|Not coded|>=|80||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported|<=|24||NR||NR|Hour(s)|Static|Fresh water|Lab|NR|Total||0.0015||0.0014||0.0017|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||2||NR||NR|Day(s)|Not coded||22|||||C||72*|||||mg/L CaCO3|||||||NR||||6.7||8.1|LeBlanc,G.A.|5184|Acute Toxicity of Priority Pollutants to Water Flea (Daphnia magna)|Bull. Environ. Contam. Toxicol.24(5): 684-691|1980|
1064431|7440360|Antimony|Not reported|Unmeasured|Not coded|>=|80||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported|<=|24||NR||NR|Hour(s)|Static|Fresh water|Lab|NR|Total|>|530||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||2||NR||NR|Day(s)|Not coded||22|||||C||72*|||||mg/L CaCO3|||||||NR||||6.7||8.1|LeBlanc,G.A.|5184|Acute Toxicity of Priority Pollutants to Water Flea (Daphnia magna)|Bull. Environ. Contam. Toxicol.24(5): 684-691|1980|
2034298|7440360|Antimony|Not reported|Measured|Not reported||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported||NR||NR||NR|Not reported|Static|Fresh water|Lab|NR|Total||18||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||2||NR||NR|Day(s)|Not reported||20|||||C|||||||NR|||||||NR|||||||Stephan,C.E.|120960|Chronic Screening Toxicity Test with Daphnia magna|Sept.29th Memo to D.Friedman, U.S.EPA, Washington, DC:3 p.|1978|
1064430|7440360|Antimony|Not reported|Unmeasured|Not coded|>=|80||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported|<=|24||NR||NR|Hour(s)|Static|Fresh water|Lab|NR|Total|>|530||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||1||NR||NR|Day(s)|Not coded||22|||||C||72*|||||mg/L CaCO3|||||||NR||||6.7||8.1|LeBlanc,G.A.|5184|Acute Toxicity of Priority Pollutants to Water Flea (Daphnia magna)|Bull. Environ. Contam. Toxicol.24(5): 684-691|1980|
1136524|7440382|Arsenic|Not reported|Unmeasured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported|<|24||NR||NR|Hour(s)|Static|Fresh water|Lab|NR|Total||3.8||3.3||4.3|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||2||NR||NR|Day(s)|Not coded|||||||NR||45|||||mg/L CaCO3||||43||45|mg/L CaCO3||||7.2||7.4|Mount,D.I., and T.J. Norberg|11181|A Seven-Day Life-Cycle Cladoceran Toxicity Test|Environ. Toxicol. Chem.3(3): 425-434|1984|
1064440|7440393|Barium|Not reported|Unmeasured|Not coded|>=|80||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported|<=|24||NR||NR|Hour(s)|Static|Fresh water|Lab|NR|Total||410||320||530|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||2||NR||NR|Day(s)|Not coded||22|||||C||173*|||||mg/L CaCO3|||||||NR||||7.4||9.4|LeBlanc,G.A.|5184|Acute Toxicity of Priority Pollutants to Water Flea (Daphnia magna)|Bull. Environ. Contam. Toxicol.24(5): 684-691|1980|
1064439|7440393|Barium|Not reported|Unmeasured|Not coded|>=|80||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported|<=|24||NR||NR|Hour(s)|Static|Fresh water|Lab|NR|Total|>|530||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||1||NR||NR|Day(s)|Not coded||22|||||C||173*|||||mg/L CaCO3|||||||NR||||7.4||9.4|LeBlanc,G.A.|5184|Acute Toxicity of Priority Pollutants to Water Flea (Daphnia magna)|Bull. Environ. Contam. Toxicol.24(5): 684-691|1980|
1064422|7440417|Beryllium|Not reported|Unmeasured|Not coded|>=|80||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported|<=|24||NR||NR|Hour(s)|Static|Fresh water|Lab|NR|Total||1||0.8||1.6|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||2||NR||NR|Day(s)|Not coded||22|||||C||173*|||||mg/L CaCO3|||||||NR||||7.4||9.4|LeBlanc,G.A.|5184|Acute Toxicity of Priority Pollutants to Water Flea (Daphnia magna)|Bull. Environ. Contam. Toxicol.24(5): 684-691|1980|
1064421|7440417|Beryllium|Not reported|Unmeasured|Not coded|>=|80||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported|<=|24||NR||NR|Hour(s)|Static|Fresh water|Lab|NR|Total||1.9||1.1||3.3|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||1||NR||NR|Day(s)|Not coded||22|||||C||173*|||||mg/L CaCO3|||||||NR||||7.4||9.4|LeBlanc,G.A.|5184|Acute Toxicity of Priority Pollutants to Water Flea (Daphnia magna)|Bull. Environ. Contam. Toxicol.24(5): 684-691|1980|
1096170|7440439|Cadmium|Not reported|Measured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Neonate||3||NR||NR|Day(s)|Static|Fresh water|Lab|NR|Total||0.2288||NR||NR|AI mg/L|||||||||||||||||Intoxication|Immobile|EC50/|Not reported||2||NR||NR|Day(s)|Not coded||20|||||C|||||||HARD|||||||NR|||||||Stuhlbacher,A., M.C. Bradley, C. Naylor, and P. Calow|6809|Variation in the Development of Cadmium Resistance in Daphnia magna Straus; Effect of Temperature, Nutrition, Age, and Genotype|Environ. Pollut.80:153-158|1993|
1096175|7440439|Cadmium|Not reported|Measured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Neonate||30||NR||NR|Day(s)|Static|Fresh water|Lab|NR|Total||0.1467||NR||NR|AI mg/L|||||||||||||||||Intoxication|Immobile|EC50/|Not reported||2||NR||NR|Day(s)|Not coded||20|||||C|||||||HARD|||||||NR|||||||Stuhlbacher,A., M.C. Bradley, C. Naylor, and P. Calow|6809|Variation in the Development of Cadmium Resistance in Daphnia magna Straus; Effect of Temperature, Nutrition, Age, and Genotype|Environ. Pollut.80:153-158|1993|
1096171|7440439|Cadmium|Not reported|Measured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Neonate||6||NR||NR|Day(s)|Static|Fresh water|Lab|NR|Total||0.2501||NR||NR|AI mg/L|||||||||||||||||Intoxication|Immobile|EC50/|Not reported||2||NR||NR|Day(s)|Not coded||20|||||C|||||||HARD|||||||NR|||||||Stuhlbacher,A., M.C. Bradley, C. Naylor, and P. Calow|6809|Variation in the Development of Cadmium Resistance in Daphnia magna Straus; Effect of Temperature, Nutrition, Age, and Genotype|Environ. Pollut.80:153-158|1993|
1096166|7440439|Cadmium|Not reported|Measured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Neonate||3||NR||NR|Day(s)|Static|Fresh water|Lab|NR|Total||0.0254||NR||NR|AI mg/L|||||||||||||||||Intoxication|Immobile|EC50/|Not reported||2||NR||NR|Day(s)|Not coded||20|||||C|||||||HARD|||||||NR|||||||Stuhlbacher,A., M.C. Bradley, C. Naylor, and P. Calow|6809|Variation in the Development of Cadmium Resistance in Daphnia magna Straus; Effect of Temperature, Nutrition, Age, and Genotype|Environ. Pollut.80:153-158|1993|
1096169|7440439|Cadmium|Not reported|Measured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Neonate|<|24||NR||NR|Hour(s)|Static|Fresh water|Lab|NR|Total||0.1294||NR||NR|AI mg/L|||||||||||||||||Intoxication|Immobile|EC50/|Not reported||2||NR||NR|Day(s)|Not coded||20|||||C|||||||HARD|||||||NR|||||||Stuhlbacher,A., M.C. Bradley, C. Naylor, and P. Calow|6809|Variation in the Development of Cadmium Resistance in Daphnia magna Straus; Effect of Temperature, Nutrition, Age, and Genotype|Environ. Pollut.80:153-158|1993|
1096167|7440439|Cadmium|Not reported|Measured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Neonate||6||NR||NR|Day(s)|Static|Fresh water|Lab|NR|Total||0.0491||NR||NR|AI mg/L|||||||||||||||||Intoxication|Immobile|EC50/|Not reported||2||NR||NR|Day(s)|Not coded||20|||||C|||||||HARD|||||||NR|||||||Stuhlbacher,A., M.C. Bradley, C. Naylor, and P. Calow|6809|Variation in the Development of Cadmium Resistance in Daphnia magna Straus; Effect of Temperature, Nutrition, Age, and Genotype|Environ. Pollut.80:153-158|1993|
1096173|7440439|Cadmium|Not reported|Measured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Neonate||20||NR||NR|Day(s)|Static|Fresh water|Lab|NR|Total||0.3263||NR||NR|AI mg/L|||||||||||||||||Intoxication|Immobile|EC50/|Not reported||2||NR||NR|Day(s)|Not coded||20|||||C|||||||HARD|||||||NR|||||||Stuhlbacher,A., M.C. Bradley, C. Naylor, and P. Calow|6809|Variation in the Development of Cadmium Resistance in Daphnia magna Straus; Effect of Temperature, Nutrition, Age, and Genotype|Environ. Pollut.80:153-158|1993|
1096174|7440439|Cadmium|Not reported|Measured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Neonate||20||NR||NR|Day(s)|Static|Fresh water|Lab|NR|Total||0.1399||NR||NR|AI mg/L|||||||||||||||||Intoxication|Immobile|EC50/|Not reported||2||NR||NR|Day(s)|Not coded||20|||||C|||||||HARD|||||||NR|||||||Stuhlbacher,A., M.C. Bradley, C. Naylor, and P. Calow|6809|Variation in the Development of Cadmium Resistance in Daphnia magna Straus; Effect of Temperature, Nutrition, Age, and Genotype|Environ. Pollut.80:153-158|1993|
1096165|7440439|Cadmium|Not reported|Measured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Neonate|<|24||NR||NR|Hour(s)|Static|Fresh water|Lab|NR|Total||0.0244||NR||NR|AI mg/L|||||||||||||||||Intoxication|Immobile|EC50/|Not reported||2||NR||NR|Day(s)|Not coded||20|||||C|||||||HARD|||||||NR|||||||Stuhlbacher,A., M.C. Bradley, C. Naylor, and P. Calow|6809|Variation in the Development of Cadmium Resistance in Daphnia magna Straus; Effect of Temperature, Nutrition, Age, and Genotype|Environ. Pollut.80:153-158|1993|
1096164|7440439|Cadmium|Not reported|Measured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Neonate||30||NR||NR|Day(s)|Static|Fresh water|Lab|NR|Total||0.3553||NR||NR|AI mg/L|||||||||||||||||Intoxication|Immobile|EC50/|Not reported||2||NR||NR|Day(s)|Not coded||20|||||C|||||||HARD|||||||NR|||||||Stuhlbacher,A., M.C. Bradley, C. Naylor, and P. Calow|6809|Variation in the Development of Cadmium Resistance in Daphnia magna Straus; Effect of Temperature, Nutrition, Age, and Genotype|Environ. Pollut.80:153-158|1993|
1096172|7440439|Cadmium|Not reported|Measured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Neonate||10||NR||NR|Day(s)|Static|Fresh water|Lab|NR|Total||0.3193||NR||NR|AI mg/L|||||||||||||||||Intoxication|Immobile|EC50/|Not reported||2||NR||NR|Day(s)|Not coded||20|||||C|||||||HARD|||||||NR|||||||Stuhlbacher,A., M.C. Bradley, C. Naylor, and P. Calow|6809|Variation in the Development of Cadmium Resistance in Daphnia magna Straus; Effect of Temperature, Nutrition, Age, and Genotype|Environ. Pollut.80:153-158|1993|
2147706|7440439|Cadmium|Not reported|Unmeasured|United States Environmental Protection Agency||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Neonate|<=|24||NR||NR|Hour(s)|Static|Fresh water|Lab|12|Total||0.0135||0.0054||0.0374|AI mg/L|||||||||||||||||Intoxication|Immobile|EC50|Not reported||2||NR||NR|Day(s)|Acute||20*|||||C||||80*||100*|mg/L CaCO3||||57*||64*|mg/L CaCO3||||7.4*||7.8*|Meyer,J.S., J.F. Ranville, M. Pontasch, J.W. Gorsuch, and W.J. Adams|169824|Acute Toxicity of Binary and Ternary Mixtures of Cd, Cu, and Zn to Daphnia magna|Environ. Toxicol. Chem.34(4): 799-808|2015|
