,index,Test Number,CAS Number,Chemical Name,Test Method,Species Scientific Name,Organism Lifestage,Organism Age Mean,Organism Age Min,Organism Age Max,Age Units,Exposure Type,Media Type,Test Location,Number of Doses,Conc 1 Type (Standardized),Conc 1 Mean (Standardized),Conc 1 Min (Standardized),Conc 1 Max (Standardized),Conc 1 Units (Standardized),Effect,Effect Measurement,Endpoint,Observed Duration Mean (Days),Observed Duration Min (Days),Observed Duration Max (Days),Observed Duration Units (Days),Test Type,Temperature Mean,Temperature Min,Temperature Max,Temperature Units,Hardness Mean,Hardness Min,Hardness Max,Hardness Units,pH Mean,pH Min,pH Max,Author,Title,Publication Year
196,2030,1300570,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7,Dissolved,0.159,0.1401,0.1804,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,25,,,C,40.9,,,mg/L,7.98,,,"Ryan,A.C., J.R. Tomasso, and S.J. Klaine","Influence of pH, Hardness, Dissolved Organic Carbon Concentration, and Dissolved Organic Matter Source on the Acute Toxicity of Copper to Daphnia magna in Soft Waters:  Implications for the Biotic Ligand Model",2009
197,2028,1300514,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7,Dissolved,0.0153,0.0115,0.0204,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,25,,,C,9.2,,,mg/L,7.92,,,"Ryan,A.C., J.R. Tomasso, and S.J. Klaine","Influence of pH, Hardness, Dissolved Organic Carbon Concentration, and Dissolved Organic Matter Source on the Acute Toxicity of Copper to Daphnia magna in Soft Waters:  Implications for the Biotic Ligand Model",2009
198,2027,1300593,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7,Dissolved,0.00029,NR,NR,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,25,,,C,21.1,,,mg/L,6.28,,,"Ryan,A.C., J.R. Tomasso, and S.J. Klaine","Influence of pH, Hardness, Dissolved Organic Carbon Concentration, and Dissolved Organic Matter Source on the Acute Toxicity of Copper to Daphnia magna in Soft Waters:  Implications for the Biotic Ligand Model",2009
199,2024,1300594,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7,Dissolved,0.00014,NR,NR,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,25,,,C,40.9,,,mg/L,7.98,,,"Ryan,A.C., J.R. Tomasso, and S.J. Klaine","Influence of pH, Hardness, Dissolved Organic Carbon Concentration, and Dissolved Organic Matter Source on the Acute Toxicity of Copper to Daphnia magna in Soft Waters:  Implications for the Biotic Ligand Model",2009
200,1989,1300441,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7,Dissolved,0.0052,0.0043,0.0064,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,25,,,C,9.2,,,mg/L,7.91,,,"Ryan,A.C., J.R. Tomasso, and S.J. Klaine","Influence of pH, Hardness, Dissolved Organic Carbon Concentration, and Dissolved Organic Matter Source on the Acute Toxicity of Copper to Daphnia magna in Soft Waters:  Implications for the Biotic Ligand Model",2009
201,2023,1301288,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7,Dissolved,0.0473,0.0412,0.0541,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,25,,,C,42.2,,,mg/L,6.42,,,"Ryan,A.C., J.R. Tomasso, and S.J. Klaine","Influence of pH, Hardness, Dissolved Organic Carbon Concentration, and Dissolved Organic Matter Source on the Acute Toxicity of Copper to Daphnia magna in Soft Waters:  Implications for the Biotic Ligand Model",2009
202,2016,1300575,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7,Dissolved,0.0083,0.0073,0.0093,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,25,,,C,42.2,,,mg/L,6.29,,,"Ryan,A.C., J.R. Tomasso, and S.J. Klaine","Influence of pH, Hardness, Dissolved Organic Carbon Concentration, and Dissolved Organic Matter Source on the Acute Toxicity of Copper to Daphnia magna in Soft Waters:  Implications for the Biotic Ligand Model",2009
203,2013,1300580,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7,Dissolved,0.0001,NR,NR,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,25,,,C,19.8,,,mg/L,7.86,,,"Ryan,A.C., J.R. Tomasso, and S.J. Klaine","Influence of pH, Hardness, Dissolved Organic Carbon Concentration, and Dissolved Organic Matter Source on the Acute Toxicity of Copper to Daphnia magna in Soft Waters:  Implications for the Biotic Ligand Model",2009
204,2012,1221965,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,NR,0,24,Hour(s),Not reported,Fresh water,Lab,NR,Labile,0.00003,NR,NR,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,21,,,C,109.9,,,mg/L CaCO3,,7.44,7.46,"Meador,J.P.","The Interaction of pH, Dissolved Organic Carbon, and Total Copper in the Determination of Ionic Copper and Toxicity",1991
205,2009,1300577,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7,Dissolved,0.0252,0.0205,0.031,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,25,,,C,21.1,,,mg/L,6.28,,,"Ryan,A.C., J.R. Tomasso, and S.J. Klaine","Influence of pH, Hardness, Dissolved Organic Carbon Concentration, and Dissolved Organic Matter Source on the Acute Toxicity of Copper to Daphnia magna in Soft Waters:  Implications for the Biotic Ligand Model",2009
206,2008,1300509,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7,Dissolved,0.00043,NR,NR,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,25,,,C,22.4,,,mg/L,6.33,,,"Ryan,A.C., J.R. Tomasso, and S.J. Klaine","Influence of pH, Hardness, Dissolved Organic Carbon Concentration, and Dissolved Organic Matter Source on the Acute Toxicity of Copper to Daphnia magna in Soft Waters:  Implications for the Biotic Ligand Model",2009
207,2007,1300437,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7,Dissolved,0.00011,NR,NR,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,25,,,C,10.6,,,mg/L,6.16,,,"Ryan,A.C., J.R. Tomasso, and S.J. Klaine","Influence of pH, Hardness, Dissolved Organic Carbon Concentration, and Dissolved Organic Matter Source on the Acute Toxicity of Copper to Daphnia magna in Soft Waters:  Implications for the Biotic Ligand Model",2009
208,2005,1209319,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,NR,NR,NR,Not reported,Static,Fresh water,Lab,NR,Labile,0.0003,0.0002,0.0004,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,20,,,C,90.7,,,mg/L CaCO3,7.73,,,"Barata,C., D.J. Baird, and S.J. Markich",Influence of Genetic and Environmental Factors on the Tolerance of Daphnia magna Straus to Essential and Non-Essential Metals,1998
209,2001,1300424,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7,Dissolved,0.00013,NR,NR,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,25,,,C,9.2,,,mg/L,7.91,,,"Ryan,A.C., J.R. Tomasso, and S.J. Klaine","Influence of pH, Hardness, Dissolved Organic Carbon Concentration, and Dissolved Organic Matter Source on the Acute Toxicity of Copper to Daphnia magna in Soft Waters:  Implications for the Biotic Ligand Model",2009
210,1993,1300567,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7,Dissolved,0.00017,NR,NR,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,25,,,C,43.6,,,mg/L,7.87,,,"Ryan,A.C., J.R. Tomasso, and S.J. Klaine","Influence of pH, Hardness, Dissolved Organic Carbon Concentration, and Dissolved Organic Matter Source on the Acute Toxicity of Copper to Daphnia magna in Soft Waters:  Implications for the Biotic Ligand Model",2009
211,1992,1253521,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7,Total,0.0028,NR,NR,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,25,,,C,7.1,,,mg/L CaCO3,7.0,,,"Long,K.E., E.J. Van Genderen, and S.J. Klaine",The Effects of Low Hardness and pH on Copper Toxicity to Daphnia magna - Short Communication,2004
212,2050,1300538,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7,Dissolved,0.00017,NR,NR,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,25,,,C,21.1,,,mg/L,7.96,,,"Ryan,A.C., J.R. Tomasso, and S.J. Klaine","Influence of pH, Hardness, Dissolved Organic Carbon Concentration, and Dissolved Organic Matter Source on the Acute Toxicity of Copper to Daphnia magna in Soft Waters:  Implications for the Biotic Ligand Model",2009
213,2052,1225384,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Not reported,Fresh water,Lab,NR,Total,0.399,0.391,0.406,AI mg/L,Mortality,Mortality,LC50,1.0,NR,NR,Day(s),Not coded,20,,,C,,,,NR,,,,"Guilhermino,L., T. Diamantino, M.C. Silva, and A.M.V.M. Soares",Acute Toxicity Test with Daphnia magna:  An Alternative to Mammals in the Prescreening of Chemical Toxicity?,2000
214,2053,1301291,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7,Dissolved,0.0451,0.0382,0.0532,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,25,,,C,43.6,,,mg/L,7.87,,,"Ryan,A.C., J.R. Tomasso, and S.J. Klaine","Influence of pH, Hardness, Dissolved Organic Carbon Concentration, and Dissolved Organic Matter Source on the Acute Toxicity of Copper to Daphnia magna in Soft Waters:  Implications for the Biotic Ligand Model",2009
215,2054,1300477,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7,Dissolved,0.0026,0.0021,0.0031,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,25,,,C,18.5,,,mg/L,7.97,,,"Ryan,A.C., J.R. Tomasso, and S.J. Klaine","Influence of pH, Hardness, Dissolved Organic Carbon Concentration, and Dissolved Organic Matter Source on the Acute Toxicity of Copper to Daphnia magna in Soft Waters:  Implications for the Biotic Ligand Model",2009
216,2101,1221953,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,NR,0,24,Hour(s),Not reported,Fresh water,Lab,NR,Labile,0.000057,0.000049,0.000083,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,21,,,C,109.9,,,mg/L CaCO3,,6.94,6.97,"Meador,J.P.","The Interaction of pH, Dissolved Organic Carbon, and Total Copper in the Determination of Ionic Copper and Toxicity",1991
217,2099,1253519,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7,Total,0.0111,NR,NR,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,25,,,C,50.7,,,mg/L CaCO3,8.2,,,"Long,K.E., E.J. Van Genderen, and S.J. Klaine",The Effects of Low Hardness and pH on Copper Toxicity to Daphnia magna - Short Communication,2004
218,2098,1258957,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Renewal,Fresh water,Lab,8,Total,0.0094,NR,NR,AI mg/L,Mortality,Mortality,LC50,17.0,NR,NR,Day(s),Not coded,20,,,C,,,,NR,,,,"Knops,M., R. Altenburger, and H. Segner","Alterations of Physiological Energetics, Growth and Reproduction of Daphnia magna Under Toxicant Stress",2001
219,2095,1301287,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7,Dissolved,0.0004,NR,NR,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,25,,,C,42.2,,,mg/L,6.29,,,"Ryan,A.C., J.R. Tomasso, and S.J. Klaine","Influence of pH, Hardness, Dissolved Organic Carbon Concentration, and Dissolved Organic Matter Source on the Acute Toxicity of Copper to Daphnia magna in Soft Waters:  Implications for the Biotic Ligand Model",2009
220,2094,1221969,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,NR,0,24,Hour(s),Not reported,Fresh water,Lab,NR,Labile,NR,0.000055,0.00006,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,21,,,C,109.9,,,mg/L CaCO3,,6.94,6.97,"Meador,J.P.","The Interaction of pH, Dissolved Organic Carbon, and Total Copper in the Determination of Ionic Copper and Toxicity",1991
221,2093,1300475,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7,Dissolved,0.0005,NR,NR,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,25,,,C,22.4,,,mg/L,6.11,,,"Ryan,A.C., J.R. Tomasso, and S.J. Klaine","Influence of pH, Hardness, Dissolved Organic Carbon Concentration, and Dissolved Organic Matter Source on the Acute Toxicity of Copper to Daphnia magna in Soft Waters:  Implications for the Biotic Ligand Model",2009
222,2092,1300566,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7,Dissolved,0.0308,0.0259,0.0367,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,25,,,C,9.2,,,mg/L,7.84,,,"Ryan,A.C., J.R. Tomasso, and S.J. Klaine","Influence of pH, Hardness, Dissolved Organic Carbon Concentration, and Dissolved Organic Matter Source on the Acute Toxicity of Copper to Daphnia magna in Soft Waters:  Implications for the Biotic Ligand Model",2009
223,2090,1300533,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7,Dissolved,0.00023,NR,NR,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,25,,,C,10.6,,,mg/L,6.33,,,"Ryan,A.C., J.R. Tomasso, and S.J. Klaine","Influence of pH, Hardness, Dissolved Organic Carbon Concentration, and Dissolved Organic Matter Source on the Acute Toxicity of Copper to Daphnia magna in Soft Waters:  Implications for the Biotic Ligand Model",2009
224,2087,1253518,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7,Total,0.01,NR,NR,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,25,,,C,22.2,,,mg/L CaCO3,8.3,,,"Long,K.E., E.J. Van Genderen, and S.J. Klaine",The Effects of Low Hardness and pH on Copper Toxicity to Daphnia magna - Short Communication,2004
225,2085,1301290,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7,Dissolved,0.0382,0.0302,0.0484,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,25,,,C,19.8,,,mg/L,7.86,,,"Ryan,A.C., J.R. Tomasso, and S.J. Klaine","Influence of pH, Hardness, Dissolved Organic Carbon Concentration, and Dissolved Organic Matter Source on the Acute Toxicity of Copper to Daphnia magna in Soft Waters:  Implications for the Biotic Ligand Model",2009
226,2081,1300576,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7,Dissolved,0.0259,0.0222,0.0303,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,25,,,C,9.2,,,mg/L,6.30,,,"Ryan,A.C., J.R. Tomasso, and S.J. Klaine","Influence of pH, Hardness, Dissolved Organic Carbon Concentration, and Dissolved Organic Matter Source on the Acute Toxicity of Copper to Daphnia magna in Soft Waters:  Implications for the Biotic Ligand Model",2009
227,2080,1221963,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,NR,0,24,Hour(s),Not reported,Fresh water,Lab,NR,Labile,NR,0.00001,0.00002,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,21,,,C,109.9,,,mg/L CaCO3,,7.85,7.87,"Meador,J.P.","The Interaction of pH, Dissolved Organic Carbon, and Total Copper in the Determination of Ionic Copper and Toxicity",1991
228,2077,1300564,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7,Dissolved,0.00037,NR,NR,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,25,,,C,19.8,,,mg/L,6.23,,,"Ryan,A.C., J.R. Tomasso, and S.J. Klaine","Influence of pH, Hardness, Dissolved Organic Carbon Concentration, and Dissolved Organic Matter Source on the Acute Toxicity of Copper to Daphnia magna in Soft Waters:  Implications for the Biotic Ligand Model",2009
229,2076,1301201,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7,Dissolved,0.00061,NR,NR,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,25,,,C,42.2,,,mg/L,6.34,,,"Ryan,A.C., J.R. Tomasso, and S.J. Klaine","Influence of pH, Hardness, Dissolved Organic Carbon Concentration, and Dissolved Organic Matter Source on the Acute Toxicity of Copper to Daphnia magna in Soft Waters:  Implications for the Biotic Ligand Model",2009
230,2075,1221957,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,NR,0,24,Hour(s),Not reported,Fresh water,Lab,NR,Labile,0.000016,0.000013,0.000019,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,21,,,C,109.9,,,mg/L CaCO3,,7.85,7.87,"Meador,J.P.","The Interaction of pH, Dissolved Organic Carbon, and Total Copper in the Determination of Ionic Copper and Toxicity",1991
231,2072,1253520,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7,Total,0.002,NR,NR,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,25,,,C,7.1,,,mg/L CaCO3,5.6,,,"Long,K.E., E.J. Van Genderen, and S.J. Klaine",The Effects of Low Hardness and pH on Copper Toxicity to Daphnia magna - Short Communication,2004
232,2069,1221958,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,NR,0,24,Hour(s),Not reported,Fresh water,Lab,NR,Labile,0.000013,0.000012,0.000013,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,21,,,C,109.9,,,mg/L CaCO3,,7.85,7.87,"Meador,J.P.","The Interaction of pH, Dissolved Organic Carbon, and Total Copper in the Determination of Ionic Copper and Toxicity",1991
233,2067,1209320,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,NR,NR,NR,Not reported,Static,Fresh water,Lab,NR,Labile,0.0035,0.0027,0.0041,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,20,,,C,179,,,mg/L CaCO3,8.07,,,"Barata,C., D.J. Baird, and S.J. Markich",Influence of Genetic and Environmental Factors on the Tolerance of Daphnia magna Straus to Essential and Non-Essential Metals,1998
234,2064,1301229,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7,Dissolved,0.0049,0.004,0.0061,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,25,,,C,22.4,,,mg/L,6.11,,,"Ryan,A.C., J.R. Tomasso, and S.J. Klaine","Influence of pH, Hardness, Dissolved Organic Carbon Concentration, and Dissolved Organic Matter Source on the Acute Toxicity of Copper to Daphnia magna in Soft Waters:  Implications for the Biotic Ligand Model",2009
235,2062,1221968,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,NR,0,24,Hour(s),Not reported,Fresh water,Lab,NR,Labile,NR,0.00005,0.000055,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,21,,,C,109.9,,,mg/L CaCO3,,6.94,6.97,"Meador,J.P.","The Interaction of pH, Dissolved Organic Carbon, and Total Copper in the Determination of Ionic Copper and Toxicity",1991
236,2060,1300565,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7,Dissolved,0.0006,NR,NR,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,25,,,C,42.2,,,mg/L,6.42,,,"Ryan,A.C., J.R. Tomasso, and S.J. Klaine","Influence of pH, Hardness, Dissolved Organic Carbon Concentration, and Dissolved Organic Matter Source on the Acute Toxicity of Copper to Daphnia magna in Soft Waters:  Implications for the Biotic Ligand Model",2009
237,2059,1300369,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7,Dissolved,0.0005,0.0004,0.0007,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,25,,,C,10.6,,,mg/L,6.16,,,"Ryan,A.C., J.R. Tomasso, and S.J. Klaine","Influence of pH, Hardness, Dissolved Organic Carbon Concentration, and Dissolved Organic Matter Source on the Acute Toxicity of Copper to Daphnia magna in Soft Waters:  Implications for the Biotic Ligand Model",2009
238,2057,1300563,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7,Dissolved,0.004,0.0024,0.0068,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,25,,,C,10.6,,,mg/L,6.19,,,"Ryan,A.C., J.R. Tomasso, and S.J. Klaine","Influence of pH, Hardness, Dissolved Organic Carbon Concentration, and Dissolved Organic Matter Source on the Acute Toxicity of Copper to Daphnia magna in Soft Waters:  Implications for the Biotic Ligand Model",2009
239,2103,1300516,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7,Dissolved,0.0167,0.0124,0.0224,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,25,,,C,21.1,,,mg/L,7.95,,,"Ryan,A.C., J.R. Tomasso, and S.J. Klaine","Influence of pH, Hardness, Dissolved Organic Carbon Concentration, and Dissolved Organic Matter Source on the Acute Toxicity of Copper to Daphnia magna in Soft Waters:  Implications for the Biotic Ligand Model",2009
240,1990,1275702,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,6-8,Total,0.28,NR,NR,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,25,,,C,93,,,mg/L,,7,8,"Mohammed,A.","Comparative Sensitivities of the Tropical Cladoceran, Ceriodaphnia rigaudii and the Temperate Species Daphnia magna to Seven Toxicants",2007
241,1988,1297874,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,NR,Dissolved,0.004,NR,NR,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,25,,,C,44,,,mg/L CaCO3,7.8,,,"Yim,J.H., K.W. Kim, and S.D. Kim",Effect of Hardness on Acute Toxicity of Metal Mixtures Using Daphnia magna:  Prediction of Acid Mine Drainage Toxicity,2006
243,1987,1221966,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,NR,0,24,Hour(s),Not reported,Fresh water,Lab,NR,Labile,NR,0.00002,0.000025,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,21,,,C,109.9,,,mg/L CaCO3,,7.44,7.46,"Meador,J.P.","The Interaction of pH, Dissolved Organic Carbon, and Total Copper in the Determination of Ionic Copper and Toxicity",1991
244,1969,1300404,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7,Dissolved,0.00004,NR,NR,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,25,,,C,18.5,,,mg/L,7.97,,,"Ryan,A.C., J.R. Tomasso, and S.J. Klaine","Influence of pH, Hardness, Dissolved Organic Carbon Concentration, and Dissolved Organic Matter Source on the Acute Toxicity of Copper to Daphnia magna in Soft Waters:  Implications for the Biotic Ligand Model",2009
254,1970,1301221,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7,Dissolved,0.00017,NR,NR,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,25,,,C,42.2,,,mg/L,7.95,,,"Ryan,A.C., J.R. Tomasso, and S.J. Klaine","Influence of pH, Hardness, Dissolved Organic Carbon Concentration, and Dissolved Organic Matter Source on the Acute Toxicity of Copper to Daphnia magna in Soft Waters:  Implications for the Biotic Ligand Model",2009
255,1884,1186929,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,NR,NR,NR,Not reported,Not reported,Fresh water,Lab,NR,Total,0.0113,NR,NR,AI mg/L,Mortality,Mortality,EC50,2.0,NR,NR,Day(s),Not coded,,,,NR,33.8*,,,mg/L CaCO3,8.4*,,,"Koivisto,S., M. Ketola, and M. Walls",Comparison of Five Cladoceran Species in Short- and Long-Term Copper Exposure,1992
257,1875,1186924,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,NR,NR,NR,Not reported,Not reported,Fresh water,Lab,NR,Total,0.0495,NR,NR,AI mg/L,Mortality,Mortality,EC50,2.0,NR,NR,Day(s),Not coded,,,,NR,33.8*,,,mg/L CaCO3,8.4*,,,"Koivisto,S., M. Ketola, and M. Walls",Comparison of Five Cladoceran Species in Short- and Long-Term Copper Exposure,1992
