CAS Number,Chemical Name,Chemical Grade,Chemical Analysis,Chemical Purity,Species Scientific Name,Species Common Name,Species Group,Organism Lifestage,Organism Age,Age Units,Exposure Type,Media Type,Test Location,Number of Doses,Conc 1 Type (Standardized),Conc 1 (Standardized),Conc 1 Units (Standardized),Effect,Effect Measurement,Endpoint,Response Site,Observed Duration (Days),Observed Duration Units (Days),Author,Reference Number,Title,Source,Publication Year,Summary of Additional Parameters
141786,Acetic acid ethyl ester,Not reported,Unmeasured,NR,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Not reported,<1,Day(s),Static,Fresh water,Lab,NR,Formulation,778,AI mg/L,Mortality,Mortality,LC50,Not reported,2,Day(s),"Canton,J.H., and D.M.M. Adema",2017,Reproducibility of Short-Term and Reproduction Toxicity Experiments with Daphnia magna and Comparison of the Sensitivity of Daphnia magna with Daphnia pulex and Daphnia cucullata in Short-Term Experiments,Hydrobiologia59(2): 135-140,1978,Purity:   NR - NR | Organism Age:   NR - NR Day(s) | Conc 1 (Author):   Formulation NR - NR AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
141786,Acetic acid ethyl ester,Not reported,Unmeasured,NR,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Not reported,<1,Day(s),Static,Fresh water,Lab,NR,Formulation,660,AI mg/L,Mortality,Mortality,LC50,Not reported,2,Day(s),"Canton,J.H., and D.M.M. Adema",2017,Reproducibility of Short-Term and Reproduction Toxicity Experiments with Daphnia magna and Comparison of the Sensitivity of Daphnia magna with Daphnia pulex and Daphnia cucullata in Short-Term Experiments,Hydrobiologia59(2): 135-140,1978,Purity:   NR - NR | Organism Age:   NR - NR Day(s) | Conc 1 (Author):   Formulation NR - NR AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
141786,Acetic acid ethyl ester,Not reported,Unmeasured,NR,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Not reported,<1,Day(s),Static,Fresh water,Lab,NR,Formulation,698,AI mg/L,Mortality,Mortality,LC50,Not reported,2,Day(s),"Canton,J.H., and D.M.M. Adema",2017,Reproducibility of Short-Term and Reproduction Toxicity Experiments with Daphnia magna and Comparison of the Sensitivity of Daphnia magna with Daphnia pulex and Daphnia cucullata in Short-Term Experiments,Hydrobiologia59(2): 135-140,1978,Purity:   NR - NR | Organism Age:   NR - NR Day(s) | Conc 1 (Author):   Formulation NR - NR AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
141786,Acetic acid ethyl ester,Not reported,Unmeasured,NR,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Not reported,<1,Day(s),Static,Fresh water,Lab,NR,Formulation,819,AI mg/L,Mortality,Mortality,LC50,Not reported,2,Day(s),"Canton,J.H., and D.M.M. Adema",2017,Reproducibility of Short-Term and Reproduction Toxicity Experiments with Daphnia magna and Comparison of the Sensitivity of Daphnia magna with Daphnia pulex and Daphnia cucullata in Short-Term Experiments,Hydrobiologia59(2): 135-140,1978,Purity:   NR - NR | Organism Age:   NR - NR Day(s) | Conc 1 (Author):   Formulation NR - NR AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
141786,Acetic acid ethyl ester,Not reported,Unmeasured,NR,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Not reported,<1,Day(s),Static,Fresh water,Lab,NR,Formulation,560,AI mg/L,Mortality,Mortality,LC50,Not reported,2,Day(s),"Canton,J.H., and D.M.M. Adema",2017,Reproducibility of Short-Term and Reproduction Toxicity Experiments with Daphnia magna and Comparison of the Sensitivity of Daphnia magna with Daphnia pulex and Daphnia cucullata in Short-Term Experiments,Hydrobiologia59(2): 135-140,1978,Purity:   NR - NR | Organism Age:   NR - NR Day(s) | Conc 1 (Author):   Formulation NR - NR AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
141902,"2,3-Dihydro-2-thioxo-4(1H)-pyrimidinone",Not reported,Unmeasured,97,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Not reported,<24,Hour(s),Static,Fresh water,Lab,NR,Active ingredient,7.7,AI mg/L,Mortality,Mortality,LC50,Not reported,2,Day(s),"Maas,J.L.",5374,Toxicity Research with Thiourea,"Laboratory for Ecotoxicology, Institute for Inland Water Management and Waste Water Treatment, Report No.AOCE:4 p.",1990,Purity:   NR - NR | Organism Age:   NR - NR Hour(s) | Conc 1 (Author):   Active ingredient 6.7 - 9 AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
141902,"2,3-Dihydro-2-thioxo-4(1H)-pyrimidinone",Not reported,Unmeasured,97,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Not reported,<24,Hour(s),Static,Fresh water,Lab,NR,Active ingredient,13,AI mg/L,Mortality,Mortality,LC50,Not reported,14,Day(s),"Maas,J.L.",5374,Toxicity Research with Thiourea,"Laboratory for Ecotoxicology, Institute for Inland Water Management and Waste Water Treatment, Report No.AOCE:4 p.",1990,Purity:   NR - NR | Organism Age:   NR - NR Hour(s) | Conc 1 (Author):   Active ingredient 10 - 18 AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
142289,"1,3-Dichloropropane",Not reported,Unmeasured,>=80,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Not reported,<=24,Hour(s),Static,Fresh water,Lab,NR,Formulation,490,AI mg/L,Mortality,Mortality,LC50,Not reported,1,Day(s),"LeBlanc,G.A.",5184,Acute Toxicity of Priority Pollutants to Water Flea (Daphnia magna),Bull. Environ. Contam. Toxicol.24(5): 684-691,1980,Purity:   NR - NR | Organism Age:   NR - NR Hour(s) | Conc 1 (Author):   Formulation 360 - 710 AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
142289,"1,3-Dichloropropane",Not reported,Unmeasured,>=80,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Not reported,<=24,Hour(s),Static,Fresh water,Lab,NR,Formulation,280,AI mg/L,Mortality,Mortality,LC50,Not reported,2,Day(s),"LeBlanc,G.A.",5184,Acute Toxicity of Priority Pollutants to Water Flea (Daphnia magna),Bull. Environ. Contam. Toxicol.24(5): 684-691,1980,Purity:   NR - NR | Organism Age:   NR - NR Hour(s) | Conc 1 (Author):   Formulation 200 - 390 AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
142596,"N,N'-1,2-Ethanediylbiscarbamodithioic acid, Sodium salt (1:2)",Not reported,Unmeasured,>=99,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Not reported,<24,Hour(s),Renewal,Fresh water,Lab,NR,Active ingredient,0.08,AI mg/L,Mortality,Mortality,LC50,Not reported,21,Day(s),"Van Leeuwen,C.J., F. Moberts, and G. Niebeek",11456,"Aquatic Toxicological Aspects of Dithiocarbamates and Related Compounds. II. Effects on Survival, Reproduction and Growth of Daphnia magna",Aquat. Toxicol.7:165-175,1988,Purity:   NR - NR | Organism Age:   NR - NR Hour(s) | Conc 1 (Author):   Active ingredient 0.07 - 0.09 AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
142596,"N,N'-1,2-Ethanediylbiscarbamodithioic acid, Sodium salt (1:2)",Not reported,Unmeasured,99,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Not reported,NR,Not reported,Renewal,Fresh water,Lab,NR,Active ingredient,0.44,AI mg/L,Mortality,Mortality,LC50,Not reported,2,Day(s),"Van Leeuwen,C.J., J.L. Maas-Diepeveen, G. Niebeek, W.H.A. Vergouw, P.S. Griffioen, and M.W. Luijken",11455,Aquatic Toxicological Aspects of Dithiocarbamates and Related Compounds. I. Short-Term Toxicity Tests,Aquat. Toxicol.7(3): 145-164,1985,Purity:   NR - NR | Organism Age:   NR - NR Not reported | Conc 1 (Author):   Active ingredient 0.37 - 0.52 AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
142961,"1,1'-Oxybisbutane",Not reported,Unmeasured,>=80,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Not reported,<=24,Hour(s),Static,Fresh water,Lab,NR,Formulation,26,AI mg/L,Mortality,Mortality,LC50,Not reported,2,Day(s),"LeBlanc,G.A.",5184,Acute Toxicity of Priority Pollutants to Water Flea (Daphnia magna),Bull. Environ. Contam. Toxicol.24(5): 684-691,1980,Purity:   NR - NR | Organism Age:   NR - NR Hour(s) | Conc 1 (Author):   Formulation 21 - 33 AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
142961,"1,1'-Oxybisbutane",Not reported,Unmeasured,>=80,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Not reported,<=24,Hour(s),Static,Fresh water,Lab,NR,Formulation,32,AI mg/L,Mortality,Mortality,LC50,Not reported,1,Day(s),"LeBlanc,G.A.",5184,Acute Toxicity of Priority Pollutants to Water Flea (Daphnia magna),Bull. Environ. Contam. Toxicol.24(5): 684-691,1980,Purity:   NR - NR | Organism Age:   NR - NR Hour(s) | Conc 1 (Author):   Formulation 26 - 36 AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
143339,Sodium cyanide (Na(CN)),"Reagent Grade, Purissium, Purum, Puriss or Puris",Unmeasured,NR,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Larva,NR,Instar,Static,Fresh water,Lab,5,Total,0.17,AI mg/L,Mortality,Mortality,LC50,Not reported,4,Day(s),"Ewell,W.S., J.W. Gorsuch, R.O. Kringle, K.A. Robillard, and R.C. Spiegel",11951,Simultaneous Evaluation of the Acute Effects of Chemicals on Seven Aquatic Species,Environ. Toxicol. Chem.5(9): 831-840,1986,Purity:   NR - NR | Organism Age:   1 - 2 Instar | Conc 1 (Author):   Total NR - NR AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
143500,"1,1a,3,3a,4,5,5,5a,5b,6-Decachlorooctahydro-1,3,4-metheno-2H-cyclobuta[cd]pentalen-2-one",Not reported,Unmeasured,NR,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Not reported,<24,Hour(s),Static,Fresh water,Lab,NR,Formulation,0.12,AI mg/L,Mortality,Mortality,LC50,Not reported,2,Day(s),"Ziegenfuss,P.S., W.J. Renaudette, and W.J. Adams",7884,Methodology for Assessing the Acute Toxicity of Chemicals Sorbed to Sediments: Testing the Equilibrium Partitioning Theory,ASTM Spec. Tech. Publ.9:479-493,1986,Purity:   NR - NR | Organism Age:   NR - NR Hour(s) | Conc 1 (Author):   Formulation NR - NR AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
143500,"1,1a,3,3a,4,5,5,5a,5b,6-Decachlorooctahydro-1,3,4-metheno-2H-cyclobuta[cd]pentalen-2-one",Not reported,Measured,NR,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Not reported,<24,Hour(s),Static,Fresh water,Lab,NR,Active ingredient,0.69,AI mg/L,Mortality,Mortality,LC50,Not reported,2,Day(s),"Ziegenfuss,P.S., W.J. Renaudette, and W.J. Adams",7884,Methodology for Assessing the Acute Toxicity of Chemicals Sorbed to Sediments: Testing the Equilibrium Partitioning Theory,ASTM Spec. Tech. Publ.9:479-493,1986,Purity:   NR - NR | Organism Age:   NR - NR Hour(s) | Conc 1 (Author):   Active ingredient NR - NR AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
143500,"1,1a,3,3a,4,5,5,5a,5b,6-Decachlorooctahydro-1,3,4-metheno-2H-cyclobuta[cd]pentalen-2-one",Not reported,Measured,NR,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Not reported,<24,Hour(s),Static,Fresh water,Lab,NR,Active ingredient,0.14,AI mg/L,Mortality,Mortality,LC50,Not reported,2,Day(s),"Ziegenfuss,P.S., W.J. Renaudette, and W.J. Adams",7884,Methodology for Assessing the Acute Toxicity of Chemicals Sorbed to Sediments: Testing the Equilibrium Partitioning Theory,ASTM Spec. Tech. Publ.9:479-493,1986,Purity:   NR - NR | Organism Age:   NR - NR Hour(s) | Conc 1 (Author):   Active ingredient NR - NR AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
143500,"1,1a,3,3a,4,5,5,5a,5b,6-Decachlorooctahydro-1,3,4-metheno-2H-cyclobuta[cd]pentalen-2-one",Not reported,Measured,NR,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Not reported,<24,Hour(s),Static,Fresh water,Lab,NR,Active ingredient,0.28,AI mg/L,Mortality,Mortality,LC50,Not reported,2,Day(s),"Ziegenfuss,P.S., W.J. Renaudette, and W.J. Adams",7884,Methodology for Assessing the Acute Toxicity of Chemicals Sorbed to Sediments: Testing the Equilibrium Partitioning Theory,ASTM Spec. Tech. Publ.9:479-493,1986,Purity:   NR - NR | Organism Age:   NR - NR Hour(s) | Conc 1 (Author):   Active ingredient NR - NR AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
144558,Carbonic acid monosodium salt (1:1),Not reported,Unmeasured,NR,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Neonate,<12,Hour(s),Renewal,Fresh water,Lab,7,Total,NR,AI mg/L,Reproduction,Progeny counts/numbers,EC50,Not reported,10,Day(s),"Cowgill,U.M., and D.P. Milazzo",119414,"Demographic Effects of Salinity, Water Hardness and Carbonate Alkalinity on Daphnia magna and Ceriodaphnia dubia",Arch. Hydrobiol.122(1): 33-56,1991,Purity:   NR - NR | Organism Age:   NR - NR Hour(s) | Conc 1 (Author):   Total >0 - <500 AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
144558,Carbonic acid monosodium salt (1:1),"Reagent Grade, Purissium, Purum, Puriss or Puris",Unmeasured,NR,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Subadult,7,Day(s),Not reported,Fresh water,Lab,NR,Total,2235.89187,AI mg/L,Mortality,Mortality,LC50,Not reported,2,Day(s),"Hoke,R.A., W.R. Gala, J.B. Drake, J.P. Giesy, and S. Flegler",13471,Bicarbonate as a Potential Confounding Factor in Cladoceran Toxicity Assessments of Pore Water from Contaminated Sediments,Can. J. Fish. Aquat. Sci.49(8): 1633-1640,1992,Purity:   NR - NR | Organism Age:   NR - NR Day(s) | Conc 1 (Author):   Total NR - NR AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
144558,Carbonic acid monosodium salt (1:1),"Reagent Grade, Purissium, Purum, Puriss or Puris",Unmeasured,NR,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Neonate,<24,Hour(s),Not reported,Fresh water,Lab,NR,Total,1411.24734,AI mg/L,Mortality,Mortality,LC50,Not reported,2,Day(s),"Hoke,R.A., W.R. Gala, J.B. Drake, J.P. Giesy, and S. Flegler",13471,Bicarbonate as a Potential Confounding Factor in Cladoceran Toxicity Assessments of Pore Water from Contaminated Sediments,Can. J. Fish. Aquat. Sci.49(8): 1633-1640,1992,Purity:   NR - NR | Organism Age:   NR - NR Hour(s) | Conc 1 (Author):   Total NR - NR AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
144558,Carbonic acid monosodium salt (1:1),"Reagent Grade, Purissium, Purum, Puriss or Puris",Unmeasured,NR,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Neonate,<24,Hour(s),Not reported,Fresh water,Lab,NR,Total,1147.70115,AI mg/L,Mortality,Mortality,LC50,Not reported,2,Day(s),"Hoke,R.A., W.R. Gala, J.B. Drake, J.P. Giesy, and S. Flegler",13471,Bicarbonate as a Potential Confounding Factor in Cladoceran Toxicity Assessments of Pore Water from Contaminated Sediments,Can. J. Fish. Aquat. Sci.49(8): 1633-1640,1992,Purity:   NR - NR | Organism Age:   NR - NR Hour(s) | Conc 1 (Author):   Total NR - NR AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
144558,Carbonic acid monosodium salt (1:1),Not reported,Unmeasured,NR,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Neonate,<12,Hour(s),Renewal,Fresh water,Lab,7,Total,NR,AI mg/L,Mortality,Mortality,LC50,Not reported,2,Day(s),"Cowgill,U.M., and D.P. Milazzo",119414,"Demographic Effects of Salinity, Water Hardness and Carbonate Alkalinity on Daphnia magna and Ceriodaphnia dubia",Arch. Hydrobiol.122(1): 33-56,1991,Purity:   NR - NR | Organism Age:   NR - NR Hour(s) | Conc 1 (Author):   Total >0 - <1000 AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
144558,Carbonic acid monosodium salt (1:1),"Reagent Grade, Purissium, Purum, Puriss or Puris",Unmeasured,NR,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Subadult,6,Day(s),Not reported,Fresh water,Lab,NR,Total,1802.31588,AI mg/L,Mortality,Mortality,LC50,Not reported,2,Day(s),"Hoke,R.A., W.R. Gala, J.B. Drake, J.P. Giesy, and S. Flegler",13471,Bicarbonate as a Potential Confounding Factor in Cladoceran Toxicity Assessments of Pore Water from Contaminated Sediments,Can. J. Fish. Aquat. Sci.49(8): 1633-1640,1992,Purity:   NR - NR | Organism Age:   NR - NR Day(s) | Conc 1 (Author):   Total NR - NR AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
144558,Carbonic acid monosodium salt (1:1),"Reagent Grade, Purissium, Purum, Puriss or Puris",Unmeasured,NR,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Subadult,7,Day(s),Not reported,Fresh water,Lab,NR,Total,1266.72201,AI mg/L,Mortality,Mortality,LC50,Not reported,2,Day(s),"Hoke,R.A., W.R. Gala, J.B. Drake, J.P. Giesy, and S. Flegler",13471,Bicarbonate as a Potential Confounding Factor in Cladoceran Toxicity Assessments of Pore Water from Contaminated Sediments,Can. J. Fish. Aquat. Sci.49(8): 1633-1640,1992,Purity:   NR - NR | Organism Age:   NR - NR Day(s) | Conc 1 (Author):   Total NR - NR AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
144558,Carbonic acid monosodium salt (1:1),Not reported,Unmeasured,NR,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Neonate,<12,Hour(s),Renewal,Fresh water,Lab,7,Total,NR,AI mg/L,Mortality,Mortality,LC50,Not reported,10,Day(s),"Cowgill,U.M., and D.P. Milazzo",119414,"Demographic Effects of Salinity, Water Hardness and Carbonate Alkalinity on Daphnia magna and Ceriodaphnia dubia",Arch. Hydrobiol.122(1): 33-56,1991,Purity:   NR - NR | Organism Age:   NR - NR Hour(s) | Conc 1 (Author):   Total >0 - <1000 AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
144741,4-Amino-N-2-thiazolylbenzenesulfonamide sodium salt (1:1),Analytical grade,Unmeasured,NR,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Juvenile,NR,Day(s),Static,Fresh water,Lab,5,Active ingredient,253.1,AI mg/L,Mortality,Mortality,LC50,Not reported,2,Day(s),"Kim,J., Y. Park, and K. Choi",113675,Phototoxicity and Oxidative Stress Responses in Daphnia magna Under Exposure to Sulfathiazole and Environmental Level Ultraviolet B Irradiation,Aquat. Toxicol.91(1): 87-94,2009,Purity:   NR - NR | Organism Age:   4 - 5 Day(s) | Conc 1 (Author):   Active ingredient NR - NR AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
147240,"2-(Diphenylmethoxy)-N,N-dimethylethanamine, Hydrochloride (1:1)",Not reported,Measured,NR,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Not reported,<24,Hour(s),Static,Fresh water,Lab,7,Active ingredient,0.00037,AI mg/L,Mortality,Mortality,LC50,Not reported,2,Day(s),"Berninger,J.P., B. Du, K.A. Connors, S.A. Eytcheson, M.A. Kolkmeier, K.N. Prosser, T.W.,Jr. Valenti, C.K. Chambliss, an",155109,Effects of the Antihistamine Diphenhydramine on Selected Aquatic Organisms,Environ. Toxicol. Chem.30(9): 2065-2072,2011,Purity:   NR - NR | Organism Age:   NR - NR Hour(s) | Conc 1 (Author):   Active ingredient NR - NR AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
148016,"2-Methyl-3,5-dinitrobenzamide",Not reported,Unmeasured,NR,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Not reported,<1,Day(s),Static,Fresh water,Lab,NR,Formulation,165,AI mg/L,Mortality,Mortality,LC50,Not reported,2,Day(s),"Canton,J.H., and G.V. Van Esch",843,The Short-Term Toxicity of Some Feed Additives to Different Freshwater Organisms,Bull. Environ. Contam. Toxicol.15(6): 720-725,1976,Purity:   NR - NR | Organism Age:   NR - NR Day(s) | Conc 1 (Author):   Formulation 157 - 173 AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
148185,"N,N-diethylcarbamodithioic acid sodium salt (1:1)",Not reported,Unmeasured,99,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Not reported,NR,Not reported,Renewal,Fresh water,Lab,NR,Formulation,0.91,AI mg/L,Mortality,Mortality,LC50,Not reported,2,Day(s),"Van Leeuwen,C.J., J.L. Maas-Diepeveen, G. Niebeek, W.H.A. Vergouw, P.S. Griffioen, and M.W. Luijken",11455,Aquatic Toxicological Aspects of Dithiocarbamates and Related Compounds. I. Short-Term Toxicity Tests,Aquat. Toxicol.7(3): 145-164,1985,Purity:   NR - NR | Organism Age:   NR - NR Not reported | Conc 1 (Author):   Formulation 0.71 - 1.06 AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
148185,"N,N-diethylcarbamodithioic acid sodium salt (1:1)",Not reported,Unmeasured,>=99,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Not reported,<24,Hour(s),Renewal,Fresh water,Lab,NR,Formulation,0.03,AI mg/L,Mortality,Mortality,LC50,Not reported,21,Day(s),"Van Leeuwen,C.J., F. Moberts, and G. Niebeek",11456,"Aquatic Toxicological Aspects of Dithiocarbamates and Related Compounds. II. Effects on Survival, Reproduction and Growth of Daphnia magna",Aquat. Toxicol.7:165-175,1988,Purity:   NR - NR | Organism Age:   NR - NR Hour(s) | Conc 1 (Author):   Formulation 0.027 - 0.033 AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
149304,2(3H)-Benzothiazolethione,Not reported,Unmeasured,NR,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Not reported,<24,Hour(s),Static,Fresh water,Lab,6,Formulation,7,AI mg/L,Mortality,Mortality,LC50,Not reported,2,Day(s),Monsanto Co.,112108,Toxicologic Investigation of: Ureka White,EPA/OTS Doc.#878215064:190 p.,1985,Purity:   NR - NR | Organism Age:   NR - NR Hour(s) | Conc 1 (Author):   Formulation 6 - 8.1 AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
149304,2(3H)-Benzothiazolethione,Not reported,Unmeasured,NR,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Neonate,~24,Hour(s),Static,Fresh water,Lab,8,Formulation,10.7,%,Mortality,Mortality,LC50,Not reported,2,Day(s),Monsanto Co.,111868,Acute Toxicity of Nitro Products and Effluents to Fathead Minnows (Pimephales promelas) and Daphnids (Ceriodaphnia dubia and Daphnia magna) with Cover Letter Dated 04/13/94,EPA/OTS Doc.#86940000356:222 p.,1994,Purity:   NR - NR | Organism Age:   NR - NR Hour(s) | Conc 1 (Author):   Formulation NR - NR % | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
149304,2(3H)-Benzothiazolethione,Not reported,Unmeasured,NR,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Not reported,<24,Hour(s),Static,Fresh water,Lab,6,Formulation,4.1,AI mg/L,Mortality,Mortality,LC50,Not reported,2,Day(s),Monsanto Co.,112108,Toxicologic Investigation of: Ureka White,EPA/OTS Doc.#878215064:190 p.,1985,Purity:   NR - NR | Organism Age:   NR - NR Hour(s) | Conc 1 (Author):   Formulation 3.6 - 4.7 AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
149315,"2-Methyl-1,3-pentanediol",Not reported,Measured,NR,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Neonate,NR,Hour(s),Static,Fresh water,Lab,NR,Active ingredient,8700,AI mg/L,Mortality,Mortality,LC50,Not reported,2,Day(s),"Thurston,R.V., T.A. Gilfoil, E.L. Meyn, R.K. Zajdel, T.L. Aoki, and G.D. Veith",12004,Comparative Toxicity of Ten Organic Chemicals to Ten Common Aquatic Species,Water Res.19(9): 1145-1155,1985,Purity:   NR - NR | Organism Age:   0 - 24 Hour(s) | Conc 1 (Author):   Active ingredient 7510 - 10100 AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
149315,"2-Methyl-1,3-pentanediol",Not reported,Measured,NR,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Neonate,NR,Hour(s),Static,Fresh water,Lab,NR,Active ingredient,5410,AI mg/L,Mortality,Mortality,LC50,Not reported,2,Day(s),"Thurston,R.V., T.A. Gilfoil, E.L. Meyn, R.K. Zajdel, T.L. Aoki, and G.D. Veith",12004,Comparative Toxicity of Ten Organic Chemicals to Ten Common Aquatic Species,Water Res.19(9): 1145-1155,1985,Purity:   NR - NR | Organism Age:   0 - 24 Hour(s) | Conc 1 (Author):   Active ingredient 4540 - 6440 AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
